Filename,STFT_Time_s,Mel_Filterbank_Time_s,Log_Scaling_Time_s,DCT_Time_s,Total_MFCC_Time_s
..\dataset\raw_audio\Actor_01\03-01-08-01-01-01-01.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_01\03-01-08-01-01-02-01.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_01\03-01-08-01-02-01-01.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_01\03-01-08-01-02-02-01.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_01\03-01-08-02-01-01-01.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_01\03-01-08-02-01-02-01.wav,0.0042,0.0008,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_01\03-01-08-02-02-01-01.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_01\03-01-08-02-02-02-01.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_02\03-01-01-01-01-01-02.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-01-01-01-02-02.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-01-01-02-01-02.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_02\03-01-01-01-02-02-02.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_02\03-01-02-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_02\03-01-02-01-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-02-01-02-01-02.wav,0.0042,0.0010,0.0000,0.0010,0.0062
..\dataset\raw_audio\Actor_02\03-01-02-01-02-02-02.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-02-02-01-01-02.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-02-02-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-02-02-02-01-02.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_02\03-01-02-02-02-02-02.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-03-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-03-01-01-02-02.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-03-01-02-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-03-01-02-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-03-02-01-01-02.wav,0.0041,0.0000,0.0011,0.0000,0.0052
..\dataset\raw_audio\Actor_02\03-01-03-02-01-02-02.wav,0.0045,0.0000,0.0010,0.0000,0.0055
..\dataset\raw_audio\Actor_02\03-01-03-02-02-01-02.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_02\03-01-03-02-02-02-02.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-04-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-04-01-01-02-02.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_02\03-01-04-01-02-01-02.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-04-01-02-02-02.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_02\03-01-04-02-01-01-02.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-04-02-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-04-02-02-01-02.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-04-02-02-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-05-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-05-01-01-02-02.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-05-01-02-01-02.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-05-01-02-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-05-02-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-05-02-01-02-02.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_02\03-01-05-02-02-01-02.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_02\03-01-05-02-02-02-02.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-06-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-06-01-01-02-02.wav,0.0036,0.0000,0.0010,0.0000,0.0046
..\dataset\raw_audio\Actor_02\03-01-06-01-02-01-02.wav,0.0032,0.0013,0.0010,0.0000,0.0055
..\dataset\raw_audio\Actor_02\03-01-06-01-02-02-02.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_02\03-01-06-02-01-01-02.wav,0.0031,0.0010,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_02\03-01-06-02-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-06-02-02-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-06-02-02-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-07-01-01-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-07-01-01-02-02.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-07-01-02-01-02.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_02\03-01-07-01-02-02-02.wav,0.0030,0.0010,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_02\03-01-07-02-01-01-02.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-07-02-01-02-02.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_02\03-01-07-02-02-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-07-02-02-02-02.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_02\03-01-08-01-01-01-02.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_02\03-01-08-01-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-08-01-02-01-02.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_02\03-01-08-01-02-02-02.wav,0.0040,0.0000,0.0000,0.0014,0.0054
..\dataset\raw_audio\Actor_02\03-01-08-02-01-01-02.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_02\03-01-08-02-01-02-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
