Filename,STFT_Time_s,Mel_Filterbank_Time_s,Log_Scaling_Time_s,DCT_Time_s,Total_MFCC_Time_s
..\dataset\raw_audio\Actor_04\03-01-07-02-01-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-07-02-01-02-04.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_04\03-01-07-02-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-07-02-02-02-04.wav,0.0050,0.0000,0.0013,0.0000,0.0063
..\dataset\raw_audio\Actor_04\03-01-08-01-01-01-04.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-01-01-02-04.wav,0.0038,0.0000,0.0014,0.0000,0.0052
..\dataset\raw_audio\Actor_04\03-01-08-01-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-01-02-02-04.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-02-01-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-02-01-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-02-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-08-02-02-02-04.wav,0.0055,0.0014,0.0000,0.0000,0.0069
..\dataset\raw_audio\Actor_05\03-01-01-01-01-01-05.wav,0.0085,0.0000,0.0020,0.0000,0.0105
..\dataset\raw_audio\Actor_05\03-01-01-01-01-02-05.wav,0.0056,0.0010,0.0000,0.0012,0.0078
..\dataset\raw_audio\Actor_05\03-01-01-01-02-01-05.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_05\03-01-01-01-02-02-05.wav,0.0064,0.0010,0.0000,0.0000,0.0074
..\dataset\raw_audio\Actor_05\03-01-02-01-01-01-05.wav,0.0040,0.0000,0.0011,0.0000,0.0051
..\dataset\raw_audio\Actor_05\03-01-02-01-01-02-05.wav,0.0053,0.0010,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_05\03-01-02-01-02-01-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-02-01-02-02-05.wav,0.0040,0.0010,0.0010,0.0010,0.0070
..\dataset\raw_audio\Actor_05\03-01-02-02-01-01-05.wav,0.0050,0.0000,0.0010,0.0010,0.0070
..\dataset\raw_audio\Actor_05\03-01-02-02-01-02-05.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_05\03-01-02-02-02-01-05.wav,0.0050,0.0010,0.0020,0.0000,0.0080
..\dataset\raw_audio\Actor_05\03-01-02-02-02-02-05.wav,0.0050,0.0000,0.0010,0.0010,0.0070
..\dataset\raw_audio\Actor_05\03-01-03-01-01-01-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-03-01-01-02-05.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_05\03-01-03-01-02-01-05.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_05\03-01-03-01-02-02-05.wav,0.0041,0.0010,0.0010,0.0000,0.0061
..\dataset\raw_audio\Actor_05\03-01-03-02-01-01-05.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-03-02-01-02-05.wav,0.0050,0.0010,0.0000,0.0010,0.0070
..\dataset\raw_audio\Actor_05\03-01-03-02-02-01-05.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_05\03-01-03-02-02-02-05.wav,0.0054,0.0000,0.0010,0.0000,0.0064
..\dataset\raw_audio\Actor_05\03-01-04-01-01-01-05.wav,0.0035,0.0010,0.0000,0.0000,0.0045
..\dataset\raw_audio\Actor_05\03-01-04-01-01-02-05.wav,0.0042,0.0010,0.0000,0.0010,0.0062
..\dataset\raw_audio\Actor_05\03-01-04-01-02-01-05.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_05\03-01-04-01-02-02-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-04-02-01-01-05.wav,0.0045,0.0000,0.0010,0.0000,0.0055
..\dataset\raw_audio\Actor_05\03-01-04-02-01-02-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-04-02-02-01-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-04-02-02-02-05.wav,0.0042,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_05\03-01-05-01-01-01-05.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-05-01-01-02-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-05-01-02-01-05.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-05-01-02-02-05.wav,0.0051,0.0000,0.0010,0.0000,0.0061
..\dataset\raw_audio\Actor_05\03-01-05-02-01-01-05.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-05-02-01-02-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-05-02-02-01-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-05-02-02-02-05.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_05\03-01-06-01-01-01-05.wav,0.0030,0.0010,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_05\03-01-06-01-01-02-05.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_05\03-01-06-01-02-01-05.wav,0.0044,0.0000,0.0010,0.0000,0.0054
..\dataset\raw_audio\Actor_05\03-01-06-01-02-02-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-06-02-01-01-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-06-02-01-02-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-06-02-02-01-05.wav,0.0032,0.0000,0.0010,0.0000,0.0042
..\dataset\raw_audio\Actor_05\03-01-06-02-02-02-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-07-01-01-01-05.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_05\03-01-07-01-01-02-05.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-07-01-02-01-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-07-01-02-02-05.wav,0.0045,0.0000,0.0000,0.0010,0.0055
..\dataset\raw_audio\Actor_05\03-01-07-02-01-01-05.wav,0.0043,0.0000,0.0020,0.0000,0.0063
..\dataset\raw_audio\Actor_05\03-01-07-02-01-02-05.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_05\03-01-07-02-02-01-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-07-02-02-02-05.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-08-01-01-01-05.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-08-01-01-02-05.wav,0.0040,0.0000,0.0010,0.0010,0.0060
..\dataset\raw_audio\Actor_05\03-01-08-01-02-01-05.wav,0.0033,0.0000,0.0010,0.0000,0.0043
..\dataset\raw_audio\Actor_05\03-01-08-01-02-02-05.wav,0.0031,0.0010,0.0000,0.0010,0.0051
..\dataset\raw_audio\Actor_05\03-01-08-02-01-01-05.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-08-02-01-02-05.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_05\03-01-08-02-02-01-05.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_05\03-01-08-02-02-02-05.wav,0.0054,0.0000,0.0010,0.0000,0.0064
..\dataset\raw_audio\Actor_06\03-01-01-01-01-01-06.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-01-01-01-02-06.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-01-01-02-01-06.wav,0.0046,0.0000,0.0010,0.0000,0.0056
..\dataset\raw_audio\Actor_06\03-01-01-01-02-02-06.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-02-01-01-01-06.wav,0.0050,0.0010,0.0000,0.0010,0.0070
..\dataset\raw_audio\Actor_06\03-01-02-01-01-02-06.wav,0.0053,0.0010,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_06\03-01-02-01-02-01-06.wav,0.0050,0.0000,0.0020,0.0000,0.0070
..\dataset\raw_audio\Actor_06\03-01-02-01-02-02-06.wav,0.0054,0.0010,0.0010,0.0000,0.0074
..\dataset\raw_audio\Actor_06\03-01-02-02-01-01-06.wav,0.0063,0.0000,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_06\03-01-02-02-01-02-06.wav,0.0061,0.0000,0.0010,0.0010,0.0081
..\dataset\raw_audio\Actor_06\03-01-02-02-02-01-06.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_06\03-01-02-02-02-02-06.wav,0.0060,0.0000,0.0020,0.0000,0.0080
..\dataset\raw_audio\Actor_06\03-01-03-01-01-01-06.wav,0.0050,0.0000,0.0012,0.0000,0.0062
..\dataset\raw_audio\Actor_06\03-01-03-01-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-03-01-02-01-06.wav,0.0050,0.0000,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_06\03-01-03-01-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-03-02-01-01-06.wav,0.0043,0.0010,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_06\03-01-03-02-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-03-02-02-01-06.wav,0.0044,0.0000,0.0010,0.0000,0.0054
..\dataset\raw_audio\Actor_06\03-01-03-02-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-04-01-01-01-06.wav,0.0034,0.0010,0.0000,0.0000,0.0044
..\dataset\raw_audio\Actor_06\03-01-04-01-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-04-01-02-01-06.wav,0.0033,0.0010,0.0000,0.0000,0.0044
..\dataset\raw_audio\Actor_06\03-01-04-01-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-04-02-01-01-06.wav,0.0052,0.0000,0.0010,0.0010,0.0072
..\dataset\raw_audio\Actor_06\03-01-04-02-01-02-06.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-04-02-02-01-06.wav,0.0050,0.0000,0.0010,0.0010,0.0070
..\dataset\raw_audio\Actor_06\03-01-04-02-02-02-06.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_06\03-01-05-01-01-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-05-01-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-05-01-02-01-06.wav,0.0050,0.0000,0.0011,0.0011,0.0073
..\dataset\raw_audio\Actor_06\03-01-05-01-02-02-06.wav,0.0030,0.0010,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_06\03-01-05-02-01-01-06.wav,0.0041,0.0010,0.0000,0.0010,0.0061
..\dataset\raw_audio\Actor_06\03-01-05-02-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-05-02-02-01-06.wav,0.0045,0.0000,0.0010,0.0000,0.0055
..\dataset\raw_audio\Actor_06\03-01-05-02-02-02-06.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-06-01-01-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-06-01-01-02-06.wav,0.0042,0.0000,0.0000,0.0010,0.0052
..\dataset\raw_audio\Actor_06\03-01-06-01-02-01-06.wav,0.0034,0.0010,0.0000,0.0000,0.0044
..\dataset\raw_audio\Actor_06\03-01-06-01-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-06-02-01-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-06-02-01-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-06-02-02-01-06.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_06\03-01-06-02-02-02-06.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-07-01-01-01-06.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_06\03-01-07-01-01-02-06.wav,0.0065,0.0000,0.0010,0.0000,0.0075
..\dataset\raw_audio\Actor_06\03-01-07-01-02-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-07-01-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-07-02-01-01-06.wav,0.0049,0.0000,0.0020,0.0000,0.0069
..\dataset\raw_audio\Actor_06\03-01-07-02-01-02-06.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-07-02-02-01-06.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_06\03-01-07-02-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-08-01-01-01-06.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_06\03-01-08-01-01-02-06.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_06\03-01-08-01-02-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-08-01-02-02-06.wav,0.0031,0.0000,0.0010,0.0000,0.0041
..\dataset\raw_audio\Actor_06\03-01-08-02-01-01-06.wav,0.0052,0.0010,0.0010,0.0000,0.0072
..\dataset\raw_audio\Actor_06\03-01-08-02-01-02-06.wav,0.0050,0.0014,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_06\03-01-08-02-02-01-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_06\03-01-08-02-02-02-06.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-01-01-01-01-07.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_07\03-01-01-01-01-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-01-01-02-01-07.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_07\03-01-01-01-02-02-07.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_07\03-01-02-01-01-01-07.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_07\03-01-02-01-01-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-02-01-02-01-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-02-01-02-02-07.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_07\03-01-02-02-01-01-07.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-02-02-01-02-07.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_07\03-01-02-02-02-01-07.wav,0.0051,0.0000,0.0010,0.0010,0.0071
..\dataset\raw_audio\Actor_07\03-01-02-02-02-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-03-01-01-01-07.wav,0.0033,0.0010,0.0000,0.0000,0.0043
..\dataset\raw_audio\Actor_07\03-01-03-01-01-02-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-03-01-02-01-07.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-03-01-02-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-03-02-01-01-07.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_07\03-01-03-02-01-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-03-02-02-01-07.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_07\03-01-03-02-02-02-07.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-04-01-01-01-07.wav,0.0059,0.0000,0.0010,0.0000,0.0069
..\dataset\raw_audio\Actor_07\03-01-04-01-01-02-07.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-04-01-02-01-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-04-01-02-02-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-04-02-01-01-07.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_07\03-01-04-02-01-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-04-02-02-01-07.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-04-02-02-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-05-01-01-01-07.wav,0.0053,0.0000,0.0013,0.0000,0.0066
..\dataset\raw_audio\Actor_07\03-01-05-01-01-02-07.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_07\03-01-05-01-02-01-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-05-01-02-02-07.wav,0.0044,0.0010,0.0010,0.0000,0.0064
..\dataset\raw_audio\Actor_07\03-01-05-02-01-01-07.wav,0.0051,0.0010,0.0000,0.0000,0.0061
..\dataset\raw_audio\Actor_07\03-01-05-02-01-02-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-05-02-02-01-07.wav,0.0040,0.0010,0.0000,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-05-02-02-02-07.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_07\03-01-06-01-01-01-07.wav,0.0056,0.0010,0.0000,0.0000,0.0066
..\dataset\raw_audio\Actor_07\03-01-06-01-01-02-07.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-06-01-02-01-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-06-01-02-02-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-06-02-01-01-07.wav,0.0061,0.0010,0.0000,0.0000,0.0071
..\dataset\raw_audio\Actor_07\03-01-06-02-01-02-07.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_07\03-01-06-02-02-01-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-06-02-02-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-07-01-01-01-07.wav,0.0052,0.0000,0.0011,0.0000,0.0062
..\dataset\raw_audio\Actor_07\03-01-07-01-01-02-07.wav,0.0033,0.0000,0.0010,0.0000,0.0043
..\dataset\raw_audio\Actor_07\03-01-07-01-02-01-07.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_07\03-01-07-01-02-02-07.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_07\03-01-07-02-01-01-07.wav,0.0052,0.0010,0.0010,0.0000,0.0072
..\dataset\raw_audio\Actor_07\03-01-07-02-01-02-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-07-02-02-01-07.wav,0.0063,0.0000,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_07\03-01-07-02-02-02-07.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_07\03-01-08-01-01-01-07.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_07\03-01-08-01-01-02-07.wav,0.0044,0.0000,0.0010,0.0000,0.0054
..\dataset\raw_audio\Actor_07\03-01-08-01-02-01-07.wav,0.0060,0.0010,0.0000,0.0000,0.0070
..\dataset\raw_audio\Actor_07\03-01-08-01-02-02-07.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_07\03-01-08-02-01-01-07.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_07\03-01-08-02-01-02-07.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_07\03-01-08-02-02-01-07.wav,0.0055,0.0000,0.0010,0.0000,0.0065
..\dataset\raw_audio\Actor_07\03-01-08-02-02-02-07.wav,0.0053,0.0010,0.0010,0.0000,0.0073
..\dataset\raw_audio\Actor_08\03-01-01-01-01-01-08.wav,0.0060,0.0010,0.0000,0.0010,0.0080
..\dataset\raw_audio\Actor_08\03-01-01-01-01-02-08.wav,0.0070,0.0000,0.0020,0.0000,0.0090
..\dataset\raw_audio\Actor_08\03-01-01-01-02-01-08.wav,0.0070,0.0000,0.0010,0.0000,0.0081
..\dataset\raw_audio\Actor_08\03-01-01-01-02-02-08.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_08\03-01-02-01-01-01-08.wav,0.0070,0.0010,0.0000,0.0010,0.0090
..\dataset\raw_audio\Actor_08\03-01-02-01-01-02-08.wav,0.0050,0.0010,0.0000,0.0000,0.0060
..\dataset\raw_audio\Actor_08\03-01-02-01-02-01-08.wav,0.0064,0.0000,0.0010,0.0000,0.0074
..\dataset\raw_audio\Actor_08\03-01-02-01-02-02-08.wav,0.0060,0.0010,0.0000,0.0010,0.0080
..\dataset\raw_audio\Actor_08\03-01-02-02-01-01-08.wav,0.0061,0.0010,0.0000,0.0010,0.0081
..\dataset\raw_audio\Actor_08\03-01-02-02-01-02-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-02-02-02-01-08.wav,0.0052,0.0010,0.0010,0.0000,0.0072
..\dataset\raw_audio\Actor_08\03-01-02-02-02-02-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-03-01-01-01-08.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_08\03-01-03-01-01-02-08.wav,0.0051,0.0010,0.0000,0.0010,0.0071
..\dataset\raw_audio\Actor_08\03-01-03-01-02-01-08.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_08\03-01-03-01-02-02-08.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_08\03-01-03-02-01-01-08.wav,0.0052,0.0010,0.0010,0.0000,0.0082
..\dataset\raw_audio\Actor_08\03-01-03-02-01-02-08.wav,0.0061,0.0010,0.0012,0.0000,0.0083
..\dataset\raw_audio\Actor_08\03-01-03-02-02-01-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-03-02-02-02-08.wav,0.0070,0.0010,0.0010,0.0000,0.0090
..\dataset\raw_audio\Actor_08\03-01-04-01-01-01-08.wav,0.0062,0.0010,0.0010,0.0000,0.0082
..\dataset\raw_audio\Actor_08\03-01-04-01-01-02-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-04-01-02-01-08.wav,0.0060,0.0000,0.0010,0.0000,0.0070
..\dataset\raw_audio\Actor_08\03-01-04-01-02-02-08.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_08\03-01-04-02-01-01-08.wav,0.0063,0.0010,0.0010,0.0000,0.0083
..\dataset\raw_audio\Actor_08\03-01-04-02-01-02-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-04-02-02-01-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-04-02-02-02-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-05-01-01-01-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-05-01-01-02-08.wav,0.0060,0.0010,0.0000,0.0000,0.0070
..\dataset\raw_audio\Actor_08\03-01-05-01-02-01-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-05-01-02-02-08.wav,0.0071,0.0010,0.0000,0.0010,0.0091
..\dataset\raw_audio\Actor_08\03-01-05-02-01-01-08.wav,0.0071,0.0000,0.0010,0.0000,0.0081
..\dataset\raw_audio\Actor_08\03-01-05-02-01-02-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-05-02-02-01-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-05-02-02-02-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-06-01-01-01-08.wav,0.0070,0.0010,0.0010,0.0000,0.0090
..\dataset\raw_audio\Actor_08\03-01-06-01-01-02-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-06-01-02-01-08.wav,0.0060,0.0010,0.0010,0.0000,0.0080
..\dataset\raw_audio\Actor_08\03-01-06-01-02-02-08.wav,0.0070,0.0000,0.0010,0.0000,0.0080
