Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_02\03-01-04-01-01-02-02.wav,0.0254
../dataset/raw_audio\Actor_02\03-01-04-01-02-01-02.wav,0.0280
../dataset/raw_audio\Actor_02\03-01-04-01-02-02-02.wav,0.0328
../dataset/raw_audio\Actor_02\03-01-04-02-01-01-02.wav,0.0320
../dataset/raw_audio\Actor_02\03-01-04-02-01-02-02.wav,0.0310
../dataset/raw_audio\Actor_02\03-01-04-02-02-01-02.wav,0.0247
../dataset/raw_audio\Actor_02\03-01-04-02-02-02-02.wav,0.0250
../dataset/raw_audio\Actor_02\03-01-05-01-01-01-02.wav,0.0204
../dataset/raw_audio\Actor_02\03-01-05-01-01-02-02.wav,0.0254
../dataset/raw_audio\Actor_02\03-01-05-01-02-01-02.wav,0.0250
../dataset/raw_audio\Actor_02\03-01-05-01-02-02-02.wav,0.0270
../dataset/raw_audio\Actor_02\03-01-05-02-01-01-02.wav,0.0239
../dataset/raw_audio\Actor_02\03-01-05-02-01-02-02.wav,0.0288
../dataset/raw_audio\Actor_02\03-01-05-02-02-01-02.wav,0.0273
../dataset/raw_audio\Actor_02\03-01-05-02-02-02-02.wav,0.0262
../dataset/raw_audio\Actor_02\03-01-06-01-01-01-02.wav,0.0233
../dataset/raw_audio\Actor_02\03-01-06-01-01-02-02.wav,0.0250
../dataset/raw_audio\Actor_02\03-01-06-01-02-01-02.wav,0.0453
../dataset/raw_audio\Actor_02\03-01-06-01-02-02-02.wav,0.0240
../dataset/raw_audio\Actor_02\03-01-06-02-01-01-02.wav,0.0152
../dataset/raw_audio\Actor_02\03-01-06-02-01-02-02.wav,0.0160
../dataset/raw_audio\Actor_02\03-01-06-02-02-01-02.wav,0.0142
../dataset/raw_audio\Actor_02\03-01-06-02-02-02-02.wav,0.0150
../dataset/raw_audio\Actor_02\03-01-07-01-01-01-02.wav,0.0166
../dataset/raw_audio\Actor_02\03-01-07-01-01-02-02.wav,0.0160
../dataset/raw_audio\Actor_02\03-01-07-01-02-01-02.wav,0.0252
../dataset/raw_audio\Actor_02\03-01-07-01-02-02-02.wav,0.0274
../dataset/raw_audio\Actor_02\03-01-07-02-01-01-02.wav,0.0230
../dataset/raw_audio\Actor_02\03-01-07-02-01-02-02.wav,0.0195
../dataset/raw_audio\Actor_02\03-01-07-02-02-01-02.wav,0.0210
../dataset/raw_audio\Actor_02\03-01-07-02-02-02-02.wav,0.0230
../dataset/raw_audio\Actor_02\03-01-08-01-01-01-02.wav,0.0193
../dataset/raw_audio\Actor_02\03-01-08-01-01-02-02.wav,0.0220
../dataset/raw_audio\Actor_02\03-01-08-01-02-01-02.wav,0.0223
../dataset/raw_audio\Actor_02\03-01-08-01-02-02-02.wav,0.0230
../dataset/raw_audio\Actor_02\03-01-08-02-01-01-02.wav,0.0216
../dataset/raw_audio\Actor_02\03-01-08-02-01-02-02.wav,0.0280
../dataset/raw_audio\Actor_02\03-01-08-02-02-01-02.wav,0.0160
../dataset/raw_audio\Actor_02\03-01-08-02-02-02-02.wav,0.0244
../dataset/raw_audio\Actor_03\03-01-01-01-01-01-03.wav,0.0330
../dataset/raw_audio\Actor_03\03-01-01-01-01-02-03.wav,0.0406
../dataset/raw_audio\Actor_03\03-01-01-01-02-01-03.wav,0.0400
../dataset/raw_audio\Actor_03\03-01-01-01-02-02-03.wav,0.0360
../dataset/raw_audio\Actor_03\03-01-02-01-01-01-03.wav,0.0255
../dataset/raw_audio\Actor_03\03-01-02-01-01-02-03.wav,0.0210
../dataset/raw_audio\Actor_03\03-01-02-01-02-01-03.wav,0.0281
../dataset/raw_audio\Actor_03\03-01-02-01-02-02-03.wav,0.0251
../dataset/raw_audio\Actor_03\03-01-02-02-01-01-03.wav,0.0272
../dataset/raw_audio\Actor_03\03-01-02-02-01-02-03.wav,0.0135
../dataset/raw_audio\Actor_03\03-01-02-02-02-01-03.wav,0.0170
../dataset/raw_audio\Actor_03\03-01-02-02-02-02-03.wav,0.0163
../dataset/raw_audio\Actor_03\03-01-03-01-01-01-03.wav,0.0170
../dataset/raw_audio\Actor_03\03-01-03-01-01-02-03.wav,0.0157
../dataset/raw_audio\Actor_03\03-01-03-01-02-01-03.wav,0.0163
../dataset/raw_audio\Actor_03\03-01-03-01-02-02-03.wav,0.0184
../dataset/raw_audio\Actor_03\03-01-03-02-01-01-03.wav,0.0220
../dataset/raw_audio\Actor_03\03-01-03-02-01-02-03.wav,0.0210
../dataset/raw_audio\Actor_03\03-01-03-02-02-01-03.wav,0.0232
../dataset/raw_audio\Actor_03\03-01-03-02-02-02-03.wav,0.0244
../dataset/raw_audio\Actor_03\03-01-04-01-01-01-03.wav,0.0218
../dataset/raw_audio\Actor_03\03-01-04-01-01-02-03.wav,0.0175
../dataset/raw_audio\Actor_03\03-01-04-01-02-01-03.wav,0.0210
../dataset/raw_audio\Actor_03\03-01-04-01-02-02-03.wav,0.0240
../dataset/raw_audio\Actor_03\03-01-04-02-01-01-03.wav,0.0213
../dataset/raw_audio\Actor_03\03-01-04-02-01-02-03.wav,0.0220
../dataset/raw_audio\Actor_03\03-01-04-02-02-01-03.wav,0.0250
../dataset/raw_audio\Actor_03\03-01-04-02-02-02-03.wav,0.0270
../dataset/raw_audio\Actor_03\03-01-05-01-01-01-03.wav,0.0280
../dataset/raw_audio\Actor_03\03-01-05-01-01-02-03.wav,0.0240
../dataset/raw_audio\Actor_03\03-01-05-01-02-01-03.wav,0.0192
../dataset/raw_audio\Actor_03\03-01-05-01-02-02-03.wav,0.0253
